Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Kyler Murray",OKLA,377,260,69.0,"4,361",11.6,42,11.1,7,1.9,86t,18,109,199.2,Passing
"Taylor Cornelius",OKST,485,288,59.4,"3,978",8.2,32,6.6,13,2.7,64t,32,223,144.7,Passing
"Will Grier",WVU,397,266,67.0,"3,864",9.7,37,9.3,8,2.0,82t,24,165,175.5,Passing
"Sam Ehlinger",TEX,425,275,64.7,"3,292",7.7,25,5.9,5,1.2,48t,25,193,146.8,Passing
"Charlie Brewer",BAY,390,240,61.5,"3,019",7.7,19,4.9,9,2.3,75t,32,198,138.0,Passing
"Alan Bowman",TTU,327,227,69.4,"2,638",8.1,17,5.2,7,2.1,66t,8,86,150.1,Passing
"Brock Purdy",IAST,220,146,66.4,"2,250",10.2,16,7.3,7,3.2,83t,21,124,169.9,Passing
"Peyton Bender",KAN,321,183,57.0,"1,894",5.9,13,4.0,3,0.9,65t,23,177,118.1,Passing
"Skylar Thompson",KSST,208,122,58.7,"1,391",6.7,9,4.3,4,1.9,42t,18,140,125.3,Passing
"Shawn Robinson",TCU,204,124,60.8,"1,334",6.5,9,4.4,8,3.9,51t,6,40,122.4,Passing
"Jett Duffey",TTU,154,104,67.5,"1,221",7.9,8,5.2,6,3.9,62t,13,68,143.5,Passing
"Michael Collins",TCU,140,79,56.4,"1,059",7.6,6,4.3,2,1.4,67t,6,41,131.3,Passing
"Zeb Noland",IAST,110,70,63.6,722,6.6,4,3.6,1,0.9,57t,6,47,129.0,Passing
"Jalan McClendon",BAY,91,55,60.4,715,7.9,3,3.3,3,3.3,43,7,43,130.7,Passing
"Alex Delton",KSST,80,44,55.0,554,6.9,2,2.5,2,2.5,72t,16,95,116.4,Passing
"Grayson Muehlstein",TCU,63,35,55.6,355,5.6,3,4.8,4,6.3,65t,3,24,105.9,Passing
"Jack Allison",WVU,45,23,51.1,352,7.8,1,2.2,2,4.4,48,4,33,115.3,Passing
"McLane Carter",TTU,51,28,54.9,318,6.2,2,3.9,2,3.9,54t,4,22,112.4,Passing
"Carter Stanley",KAN,47,34,72.3,304,6.5,3,6.4,1,2.1,31t,6,33,143.5,Passing
"Shane Buechele",TEX,44,30,68.2,273,6.2,2,4.5,1,2.3,44t,2,22,130.8,Passing
"Kyle Kempt",IAST,31,21,67.7,160,5.2,0,0.0,1,3.2,31,4,39,104.6,Passing
"Austin Kendall",OKLA,17,12,70.6,122,7.2,1,5.9,0,0.0,27,2,12,150.3,Passing
"Miles Kendrick",KAN,19,11,57.9,100,5.3,1,5.3,0,0.0,25,1,11,119.5,Passing
"Colt Garrett",TTU,1,1,100.0,44,44.0,1,100.0,0,0.0,44t,0,0,799.6,Passing
"Tanner Mordecai",OKLA,4,2,50.0,37,9.2,0,0.0,0,0.0,33,0,0,127.7,Passing
"Jared Atkinson",BAY,1,1,100.0,36,36.0,0,0.0,0,0.0,36,0,0,402.4,Passing
"Keondre Wudtee",OKST,5,2,40.0,26,5.2,1,20.0,0,0.0,25t,2,8,149.7,Passing
"Tylan Wallace",OKST,2,2,100.0,21,10.5,0,0.0,0,0.0,24,0,0,188.2,Passing
"Tre Watson",TEX,1,1,100.0,21,21.0,0,0.0,0,0.0,21,0,0,276.4,Passing
"Lil'Jordan Humphrey",TEX,4,3,75.0,18,4.5,1,25.0,0,0.0,8,0,0,195.3,Passing
"Jerrod Heard",TEX,1,1,100.0,11,11.0,0,0.0,0,0.0,11,0,0,192.4,Passing
"Seth Collins",TTU,2,1,50.0,10,5.0,0,0.0,0,0.0,10,0,0,92.0,Passing
"Pooka Williams Jr.",KAN,2,1,50.0,9,4.5,1,50.0,0,0.0,9t,0,0,252.8,Passing
"Dillon Stoner",OKST,1,1,100.0,3,3.0,0,0.0,0,0.0,3,0,0,125.2,Passing
"Justin Rogers",TCU,1,1,100.0,1,1.0,0,0.0,0,0.0,1,1,4,108.4,Passing
"Nick Basquine",OKLA,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"Gerry Bohanon",BAY,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"Trestan Ebner",BAY,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,-200.0,Passing
"Drew Galitz",BAY,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"Khalil Herbert",KAN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"Keaontay Ingram",TEX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"CeeDee Lamb",OKLA,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"Trey Lowe III",WVU,2,2,100.0,0,0.0,0,0.0,0,0.0,2,1,6,100.0,Passing
"Colby Moore",KSST,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0,0,-100.0,Passing
"Steven Sims Jr.",KAN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
"KaVontae Turpin",TCU,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,-200.0,Passing
"Trevon Wesco",WVU,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,Passing
